2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03483461+2504005,*,57.14421082,25.06682968,0,7010.0,4.46,2MASS J03483461+2504005
2M03483480+2410523,*,57.14500427,24.18120193,0,6120.0,4.75,2MASS J03483480+2410523
2M03483764+2246095,*,57.15684509,22.76931953,3,4280.0,5.05,2MASS J03483764+2246095
2M03483902+3140129,*,57.16259003,31.67025948,3,5730.0,4.52,2MASS J03483902+3140129
2M03483908+3058331,*,57.1628685,30.97588539,0,3960.0,2.46,2MASS J03483908+3058331
2M03483931+3146063,*,57.16382599,31.76841927,0,5060.0,3.85,2MASS J03483931+3146063
2M03483949+3123267,*,57.16455078,31.39076424,0,4610.0,3.67,2MASS J03483949+3123267
2M03483990+2412430,*,57.16626358,24.21196747,3,3440.0,5.26,2MASS J03483990+2412430
2M03484097+2314176,*,57.17071915,23.2382431,3,2930.0,4.99,2MASS J03484097+2314176
2M03484213+2500285,*,57.17557526,25.00793648,3,3590.0,5.31,2MASS J03484213+2500285
2M03484226+3118159,*,57.1761055,31.30444145,0,6500.0,5.14,2MASS J03484226+3118159
2M03484343+3213044,*,57.18096924,32.21789169,0,5000.0,4.44,2MASS J03484343+3213044
2M03484389+2315354,*,57.1828804,23.25985909,0,6660.0,4.33,2MASS J03484389+2315354
2M03484452+3253080,*,57.18551636,32.88557816,0,3920.0,2.19,2MASS J03484452+3253080
2M03484542+2320201,*,57.18927383,23.33893776,3,4590.0,4.97,2MASS J03484542+2320201
2M03484618+3132354,*,57.19244003,31.54317856,0,6320.0,5.14,2MASS J03484618+3132354
2M03484894+2416027,*,57.20394897,24.26743507,3,5430.0,5.19,2MASS J03484894+2416027
2M03484932+2358383,*,57.20550919,23.97731972,3,4660.0,4.66,2MASS J03484932+2358383
2M03485154+2412174,*,57.21477127,24.20484543,3,3930.0,5.26,2MASS J03485154+2412174
2M03485329+3132297,*,57.22205734,31.54159546,0,6870.0,5.08,2MASS J03485329+3132297
2M03485470+2247570,*,57.22794724,22.79918098,0,8880.0,4.39,2MASS J03485470+2247570
2M03485734+2419438,*,57.23894119,24.32883835,3,3730.0,5.49,2MASS J03485734+2419438
2M03485827+2305393,*,57.24282455,23.09427071,3,3760.0,5.11,2MASS J03485827+2305393
2M03485848+2312044,*,57.24369049,23.2012291,3,5410.0,5.14,2MASS J03485848+2312044
2M03485891+2416043,*,57.24548721,24.26788712,3,4920.0,4.55,2MASS J03485891+2416043
2M03485896+2506142,*,57.24568176,25.10395813,3,4550.0,4.94,2MASS J03485896+2506142
2M03490097+2454102,*,57.2540741,24.90283394,3,3280.0,5.14,2MASS J03490097+2454102
2M03490100+2258496,*,57.25416946,22.98044586,3,4010.0,5.2,2MASS J03490100+2258496
2M03490216+3242086,*,57.2590065,32.70238876,0,6650.0,4.24,2MASS J03490216+3242086
